section,title,url,category,tags,description,thumbnail,decade,is_featured,is_live,is_kidsafe
MOVIES,WESTERN CLASSICS,https://www.liberty-express.org/western-classics.html,Movies,"western, classic",,,,False,False,False
MOVIES,THE-MOVIE-ORGY-1968,https://www.liberty-express.org/the-movie-orgy-1968.html,Movies,movie,,,,False,False,False
MOVIES,Classic Documentaries,https://www.liberty-express.org/classic-documentaries.html,Movies,"classic, documentary",,,,False,False,False
MOVIES,Crime Classics 2,https://www.liberty-express.org/crime-classics-2.html,Movies,classic,,,,False,False,False
MOVIES,Ma and Pa Kettle Movies,https://www.liberty-express.org/ma-and-pa-kettle-movies.html,Movies,movie,,,,False,False,False
KIDS,The Addams Family (1964-1966),https://www.liberty-express.org/the-addams-family-1964-1966.html,Kids & Family,kids,,,,False,False,True
KIDS,Modern Family,https://www.liberty-express.org/modern-family.html,Kids & Family,kids,,,,False,False,True
KIDS,Biden Crime Family 1,https://www.liberty-express.org/biden-crime-family-1.html,Kids & Family,kids,,,,False,False,True
KIDS,Biden Crime Family 2,https://www.liberty-express.org/biden-crime-family-2.html,Kids & Family,kids,,,,False,False,True
KIDS,Kids sing along VHS and DVD,https://www.liberty-express.org/kids-sing-along-vhs-and-dvd.html,Kids & Family,kids,,,,False,False,True
KIDS,50 Of The Greatest Cartoons,https://www.liberty-express.org/50-of-the-greatest-cartoons.html,Kids & Family,animated,,,,False,False,True
KIDS,WINNIE THE POOH,https://www.liberty-express.org/winnie-the-pooh.html,Kids & Family,,,,,False,False,True
KIDS,My Family,https://www.liberty-express.org/my-family.html,Kids & Family,kids,,,,False,False,True
DOCUMENTARY,RT Documentary,https://livetvland.com/,Documentaries,documentary,,,,False,False,False
DOCUMENTARY,RT Documentaries,https://www.liberty-express.org/rt-documentaries.html,Documentaries,documentary,,,,False,False,False
DOCUMENTARY,Vaccine Documentary Collection>,https://archive.org/embed/vaccine-documentary-collection&playlist=1&autoplay=1,Documentaries,documentary,,,,False,False,False
RADIO,Audio Player,https://www.liberty-express.org/audio-player.html,Radio & Podcasts,,,,,False,False,False
RADIO,Podcast>,https://www.liberty-express.org/podcast.html,Radio & Podcasts,,,,,False,False,False
RADIO,Audio Books,https://www.liberty-express.org/audio-books.html,Radio & Podcasts,,,,,False,False,False
RADIO,AND WE KNOW  PODCAST,https://www.liberty-express.org/and-we-know-podcast.html,Radio & Podcasts,,,,,False,False,False
TOOLS,HOME,https://www.liberty-express.org/,Tools / Control Hub,,,,,False,False,False
TOOLS,Playing Also>,https://www.liberty-express.org/playing-also.html,Tools / Control Hub,,,,,False,False,False
TOOLS,Liberty Player>,https://www.liberty-express.org/liberty-player.html,Tools / Control Hub,,,,,False,False,False
TOOLS,Liberty Free Channel 1,https://www.liberty-express.org/liberty-free-channel-1.html,Tools / Control Hub,,,,,False,False,False
TOOLS,Ancient Aliens,https://www.liberty-express.org/ancient-aliens1.html,Tools / Control Hub,scifi,,,,False,False,False
